ORDER_ID,CUSTOMER_CD,GROUP_CD,ORDER_CLASS,VEHICLE_CLASS,VEHICLE_OPTION,VEHICLE_TYPE,VEHICLE_SCALE,SHIPPER_CD,BOX_TYPE,BOX_SIZE,ORDER_TEMPERATURE,ORDER_TYPE,ORDER_VOLUME,ORDER_WEIGHT,ORDER_BOX,ORDER_COST,STATUS,P_X,P_Y,P_LOCATION_NM,P_ADDRESS,P_SUB_ADDRESS,P_ZIP_CODE,P_PNU,D_X,D_Y,D_LOCATION_NM,D_ADDRESS,D_SUB_ADDRESS,D_ZIP_CODE,D_PNU,P_ORDER_DATE,P_SLA_TIME,P_OPEN_TIME,P_CLOSE_TIME,D_ORDER_DATE,D_SLA_TIME,D_OPEN_TIME,D_CLOSE_TIME,LOADING_TYPE,P_EST_PROC_TIME,UNLOADING_TYPE,D_EST_PROC_TIME,ENABLE_PACKAGE,ENABLE_REV_NEGO,REMARK,P_MGR_NM,P_CONTACT,D_MGR_NM,D_CONTACT
00000010,00000191,0000000000_0000000000,a,,0,0,1000,,0,0,0,0,0,0,0,0,,126.5999483,37.4535275,,인천항/스카이국제운송,,,,126.8888352,37.4656669,D_10,서울 금천구 범안로 1142 스카이밸리 가산 2차,,,,20210603,0:0,0,0,20210603,0,0,0,1,0,2,0,0,1,1톤카고,,,,
00000011,00000191,0000000000_0000000000,a,,0,0,1000,,0,0,0,1,0,0,0,0,,126.6188551,37.4331422999999,,인천항/공동물류,,,,127.0557284,37.5882561,D_11,"서울시 동대문구 망우로 21, 201호",,,,20210603,0:0,0,0,20210603,0,0,0,2,0,0,0,2,2,1톤,,,,
00000012,00000191,0000000000_0000000000,a,,0,0,1000,shipper1,0,0,0,1,0,0,0,0,,126.4672416,37.4621507,,인천항공화물터미널주식회사A,,,,126.8804539,37.4748221,D_12,서울 금천구 가산디지털2로 83 한진물류터미널 14~15 하역장,,,,20210603,0:0,0,0,20210603,0,0,0,0,7,1,0,0,0,,,,,
00000013,00000191,0000000000_0000000000,a,,0,0,1000,shipper1,0,0,0,3,0,0,0,0,,126.6257876,37.4309457,,인천 중구 신흥동3가 69-6 (서해대로94번길 98-1) 서해대로94번길 98-1,,,,127.1930322,37.5765941,D_13,경기 하남시 망월동 834-2 (미사강변한강로 155) 미사강변한강로 155 SK V1 사무동 711호,,,,20210603,09:27,0,0,20210603,0,0,0,1,7,2,0,2,1,1톤/카고,,,,
00000014,00000191,0000000000_0000000000,a,,0,0,1001,shipper3,0,0,0,3,0,0,0,0,,126.6181169,37.4509779,,인천 중구 항동7가 95-1 (축항대로 202) 축항대로 202,,,,126.5526336,37.6962231,D_14,경기 김포시 고양리 449 (고양로115번길 206) 고양로115번길 206 주식회사 쎄바,,,,20210603,09:51,0,0,20210603,0,0,0,2,7,0,8,0,2,라보/일반,,,,
00000015,00000191,0000000000_0000000000,,,0,0,1002,shipper2,0,0,0,2,0,0,0,0,,126.6181169,37.4509779,,인천 중구 항동7가 95-1 (축항대로 202) 축항대로 202,,,,126.7377885,37.4857585,D_15,인천 부평구 부개동 246-7 (동수로 174-1) 동수로 174-1 3층,,,,20210603,13:00,0,0,20210603,0,0,0,0,7,1,8,2,0,다마스/일반,,,,
00000016,00000191,0000000000_0000000000,,,0,0,1000,shipper1,0,0,0,3,0,0,0,0,,126.6181169,37.4509779,,인천 중구 항동7가 95-1 (축항대로 202) 축항대로 202,,,,129.2581798,35.3798183,D_16,부산 기장군 명례리 901-3 (명례산단2로 99) 명례산단2로 99 1층,,,,20210603,16:15,0,0,20210603,0,0,0,1,0,2,8,0,1,1톤/카고,,,,
00000017,00000191,0000000000_0000000000,,,0,0,1000,shipper3,0,0,0,0,0,0,0,0,,126.6183442,37.4496946,,인천 중구 항동7가 92-1 (축항대로212번길 49) 축항대로212번길 49,,,,127.3936367,37.1448514,D_17,경기 용인시 처인구 백봉리 937-5 (죽양대로912번길 54) 죽양대로912번길 54 MQ로지스틱스 A도크,,,,20210604,09:30,0,0,20210604,0,0,0,2,0,0,8,2,2,1톤/카고,,,,
00000018,00000191,0000000000_0000000000,,,0,0,2500,shipper2,0,0,0,1,0,0,0,0,,128.7100381,35.1330251,,경남 창원시 진해구 남문동 1190-1 (신항8로 321) 신항8로 321,,,,128.9177313,35.1924025,D_18,부산 강서구 강동동 2287 (상덕로119번길 28-23) 상덕로119번길 28-23,,,,20210604,09:50,0,0,20210604,0,0,0,0,0,1,0,0,0,2.5톤/카고,,,,
00000019,00000191,0000000000_0000000000,,,0,0,1000,shipper1,0,0,0,3,0,0,0,0,,126.6181169,37.4509779,,인천 중구 항동7가 95-1 (축항대로 202) 축항대로 202,,,,126.738987,37.7766159,D_19,경기 파주시 검산동 448-2 (검산로 301-22) 검산로 301-22 교원파주물류센터,,,,20210604,12:52,0,0,20210604,0,0,0,1,0,2,0,0,1,1톤/카고,,,,
